Symbol,Date,Time,Open Time,Open Bid Price,Open Bid Size,Open Ask Price,Open Ask Size,High Bid Time,High Bid Price,High Bid Size,Ask Price at High Bid,Ask Size at High Bid,Low Ask Time,Bid Price at Low Ask,Bid Size at Low Ask,Low Ask Price,Low Ask Size,Close Time,Close Bid Price,Close Bid Size,Close Ask Price,Close Ask Size,Max. Spread,Min. Spread,NBBO Count
GLP,03/04/2014,12:22,12:21:02.448,38.46,1,39.1,1,12:21:57.618,38.49,3,39.1,2,12:21:02.448,38.46,1,39.1,1,12:21:57.618,38.49,3,39.1,2,0.64,0.61,5
GLP,03/04/2014,12:23,12:22:52.531,38.5,1,39.1,2,12:22:52.608,38.51,3,39.1,2,12:22:52.531,38.5,1,39.1,2,12:22:52.608,38.51,3,39.1,2,0.60,0.59,2
GLP,03/04/2014,12:24,12:23:56.502,38.52,1,39.1,2,12:23:56.580,38.53,2,39.1,2,12:23:56.502,38.52,1,39.1,2,12:23:56.580,38.53,2,39.1,2,0.58,0.57,2
GLP,03/04/2014,12:25,12:24:31.435,38.54,2,39.1,2,12:24:55.477,38.56,2,39.1,2,12:24:31.435,38.54,2,39.1,2,12:24:55.477,38.56,2,39.1,2,0.56,0.54,3
GLP,03/04/2014,12:26,12:25:58.500,38.57,1,39.1,2,12:25:58.525,38.58,1,39.1,2,12:25:58.500,38.57,1,39.1,2,12:25:58.525,38.58,1,39.1,2,0.53,0.52,2
GLP,03/04/2014,12:27,12:26:55.490,38.59,1,39.1,2,12:26:55.490,38.59,1,39.1,2,12:26:55.490,38.59,1,39.1,2,12:26:57.508,38.59,2,39.1,2,0.51,0.51,2
GLP,03/04/2014,12:32,12:31:29.216,38.59,2,39.1,1,12:31:29.216,38.59,2,39.1,1,12:31:29.216,38.59,2,39.1,1,12:31:29.216,38.59,2,39.1,1,0.51,0.51,1
GLP,03/04/2014,12:33,12:32:26.154,38.59,2,39.1,49,12:32:26.154,38.59,2,39.1,49,12:32:26.154,38.59,2,39.1,49,12:32:26.154,38.59,2,39.1,49,0.51,0.51,1
GLP,03/04/2014,12:36,12:35:05.207,38.59,2,39.09,2,12:35:05.207,38.59,2,39.09,2,12:35:29.621,38.59,2,38.84,1,12:35:51.438,38.59,1,39.0,49,0.50,0.25,5
GLP,03/04/2014,12:38,12:37:33.258,38.6,1,39.0,49,12:37:33.258,38.6,1,39.0,49,12:37:33.258,38.6,1,39.0,49,12:37:40.973,38.59,1,39.18,2,0.60,0.40,8
